train_time,accuracy
203.32302403450012,39.53
199.20913410186768,45.35
201.05420351028442,46.22
199.2177426815033,47.41
199.83640694618225,50.26
199.684716463089,50.29
198.81641817092896,53.65
204.2387433052063,56.09
200.96035623550415,52.59
202.89339756965637,52.3
199.08583760261536,58.18
199.82848405838013,59.06
203.24923491477966,58.6
199.22293281555176,57.77
202.0276539325714,56.33
199.4762668609619,56.3
203.74029302597046,59.26
202.7173047065735,61.95
199.24891805648804,57.13
201.28922176361084,64.17
200.2308452129364,58.62
200.03147149085999,63.46
202.78535509109497,65.01
199.10151505470276,65.74
202.65802812576294,62.03
