train_time,accuracy
181.43791961669922,41.28
182.22767210006714,43.02
182.87541031837463,45.72
182.2045614719391,46.05
180.63876247406006,48.52
181.5265510082245,52.42
180.74625658988953,52.78
182.2787172794342,55.5
181.83860230445862,53.29
181.16640520095825,55.85
182.54593300819397,57.06
182.07593703269958,57.99
180.99304151535034,60.82
182.1800594329834,56.14
181.85387754440308,54.43
180.95148611068726,60.67
182.1980619430542,54.91
180.3735899925232,60.88
181.59292101860046,60.31
