022-02-25 16:58:53,589 - __main__ - INFO - Preparing Client
2022-02-25 16:58:53,880 - Client - INFO - Connecting to Server.
2022-02-25 16:58:54,592 - __main__ - INFO - Preparing Data.
Files already downloaded and verified
2022-02-25 16:59:12,667 - __main__ - INFO - Classic local Training
2022-02-25 16:59:12,667 - __main__ - INFO - ====================================>
2022-02-25 16:59:12,668 - __main__ - INFO - ROUND: 0 START
2022-02-25 16:59:15,234 - Client - INFO - Network speed is 7.98199103408364
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:56<00:00,  3.54s/it]
2022-02-25 17:02:12,096 - Client - INFO - Total time: 176.85930967330933
2022-02-25 17:02:12,096 - Client - INFO - 50 iterations!!
2022-02-25 17:02:12,096 - Client - INFO - training_time_per_iteration: 3.5371861934661863
2022-02-25 17:02:12,099 - __main__ - INFO - ROUND: 0 END
2022-02-25 17:02:12,099 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:02:12,327 - __main__ - INFO - ==> Reinitialization for Round : 1
2022-02-25 17:02:16,020 - __main__ - INFO - Rebuild time: 3.693042039871216
2022-02-25 17:02:16,021 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:02:16,022 - __main__ - INFO - ====================================>
2022-02-25 17:02:16,023 - __main__ - INFO - ROUND: 1 START
2022-02-25 17:02:16,546 - Client - INFO - Network speed is 39.19754660733297
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:59<00:00,  3.59s/it]
2022-02-25 17:05:15,809 - Client - INFO - Total time: 179.26169228553772
2022-02-25 17:05:15,810 - Client - INFO - 50 iterations!!
2022-02-25 17:05:15,810 - Client - INFO - training_time_per_iteration: 3.5852338457107544
2022-02-25 17:05:15,812 - __main__ - INFO - ROUND: 1 END
2022-02-25 17:05:15,813 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:05:16,033 - __main__ - INFO - ==> Reinitialization for Round : 2
2022-02-25 17:05:19,626 - __main__ - INFO - Rebuild time: 3.5920839309692383
2022-02-25 17:05:19,627 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:05:19,628 - __main__ - INFO - ====================================>
2022-02-25 17:05:19,628 - __main__ - INFO - ROUND: 2 START
2022-02-25 17:05:20,146 - Client - INFO - Network speed is 39.584240615030424
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:57<00:00,  3.56s/it]
2022-02-25 17:08:18,135 - Client - INFO - Total time: 177.98641896247864
2022-02-25 17:08:18,136 - Client - INFO - 50 iterations!!
2022-02-25 17:08:18,137 - Client - INFO - training_time_per_iteration: 3.559728379249573
2022-02-25 17:08:18,140 - __main__ - INFO - ROUND: 2 END
2022-02-25 17:08:18,140 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:08:18,311 - __main__ - INFO - ==> Reinitialization for Round : 3
2022-02-25 17:08:22,452 - __main__ - INFO - Rebuild time: 4.140071392059326
2022-02-25 17:08:22,453 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:08:22,454 - __main__ - INFO - ====================================>
2022-02-25 17:08:22,454 - __main__ - INFO - ROUND: 3 START
2022-02-25 17:08:22,985 - Client - INFO - Network speed is 38.62142751098516
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.58s/it]
2022-02-25 17:11:21,880 - Client - INFO - Total time: 178.89231610298157
2022-02-25 17:11:21,881 - Client - INFO - 50 iterations!!
2022-02-25 17:11:21,881 - Client - INFO - training_time_per_iteration: 3.5778463220596315
2022-02-25 17:11:21,884 - __main__ - INFO - ROUND: 3 END
2022-02-25 17:11:21,885 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:11:22,072 - __main__ - INFO - ==> Reinitialization for Round : 4
2022-02-25 17:11:25,392 - __main__ - INFO - Rebuild time: 3.3194942474365234
2022-02-25 17:11:25,393 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:11:25,394 - __main__ - INFO - ====================================>
2022-02-25 17:11:25,394 - __main__ - INFO - ROUND: 4 START
2022-02-25 17:11:25,952 - Client - INFO - Network speed is 36.78621603565764
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.58s/it]
2022-02-25 17:14:24,893 - Client - INFO - Total time: 178.9395468235016
2022-02-25 17:14:24,894 - Client - INFO - 50 iterations!!
2022-02-25 17:14:24,894 - Client - INFO - training_time_per_iteration: 3.578790936470032
2022-02-25 17:14:24,898 - __main__ - INFO - ROUND: 4 END
2022-02-25 17:14:24,899 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:14:25,078 - __main__ - INFO - ==> Reinitialization for Round : 5
2022-02-25 17:14:28,920 - __main__ - INFO - Rebuild time: 3.842195987701416
2022-02-25 17:14:28,921 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:14:28,922 - __main__ - INFO - ====================================>
2022-02-25 17:14:28,923 - __main__ - INFO - ROUND: 5 START
2022-02-25 17:14:29,410 - Client - INFO - Network speed is 42.03490926458412
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.56s/it]
2022-02-25 17:17:27,471 - Client - INFO - Total time: 178.05866050720215
2022-02-25 17:17:27,472 - Client - INFO - 50 iterations!!
2022-02-25 17:17:27,472 - Client - INFO - training_time_per_iteration: 3.5611732101440428
2022-02-25 17:17:27,474 - __main__ - INFO - ROUND: 5 END
2022-02-25 17:17:27,475 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:17:27,649 - __main__ - INFO - ==> Reinitialization for Round : 6
2022-02-25 17:17:31,502 - __main__ - INFO - Rebuild time: 3.8530211448669434
2022-02-25 17:17:31,503 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:17:31,503 - __main__ - INFO - ====================================>
2022-02-25 17:17:31,504 - __main__ - INFO - ROUND: 6 START
2022-02-25 17:17:32,015 - Client - INFO - Network speed is 40.10082980872832
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.57s/it]
2022-02-25 17:20:30,750 - Client - INFO - Total time: 178.7322223186493
2022-02-25 17:20:30,751 - Client - INFO - 50 iterations!!
2022-02-25 17:20:30,751 - Client - INFO - training_time_per_iteration: 3.574644446372986
2022-02-25 17:20:30,754 - __main__ - INFO - ROUND: 6 END
2022-02-25 17:20:30,754 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:20:30,940 - __main__ - INFO - ==> Reinitialization for Round : 7
2022-02-25 17:20:34,195 - __main__ - INFO - Rebuild time: 3.253744125366211
2022-02-25 17:20:34,195 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:20:34,196 - __main__ - INFO - ====================================>
2022-02-25 17:20:34,197 - __main__ - INFO - ROUND: 7 START
2022-02-25 17:20:34,686 - Client - INFO - Network speed is 41.9245547104963
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.57s/it]
2022-02-25 17:23:32,944 - Client - INFO - Total time: 178.2567834854126
2022-02-25 17:23:32,945 - Client - INFO - 50 iterations!!
2022-02-25 17:23:32,945 - Client - INFO - training_time_per_iteration: 3.565135669708252
2022-02-25 17:23:32,947 - __main__ - INFO - ROUND: 7 END
2022-02-25 17:23:32,948 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:23:33,134 - __main__ - INFO - ==> Reinitialization for Round : 8
2022-02-25 17:23:36,444 - __main__ - INFO - Rebuild time: 3.3086235523223877
2022-02-25 17:23:36,444 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:23:36,445 - __main__ - INFO - ====================================>
2022-02-25 17:23:36,446 - __main__ - INFO - ROUND: 8 START
2022-02-25 17:23:36,973 - Client - INFO - Network speed is 38.87273896960663
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:59<00:00,  3.59s/it]
2022-02-25 17:26:36,409 - Client - INFO - Total time: 179.43261337280273
2022-02-25 17:26:36,410 - Client - INFO - 50 iterations!!
