train_time,accuracy
98.68768382072449,40.1
99.23514485359192,45.92
97.05598402023315,43.88
98.79375052452087,48.28
98.93383073806763,46.64
99.00961375236511,50.95
100.88266587257385,53.93
98.17080664634705,54.81
99.48651480674744,55.28
96.41241788864136,55.7
96.86100649833679,55.25
98.87728428840637,56.08
98.47823071479797,60.84
97.04929995536804,59.94
101.1078679561615,58.41
100.38971781730652,60.38
103.0912709236145,62.19
98.7987265586853,60.88
100.13022041320801,61.49
101.03119254112244,60.57
98.34147357940674,61.11
97.5667552947998,62.8
100.51123261451721,60.85
98.89831328392029,56.51
95.89185094833374,64.33
99.33390951156616,64.49
98.36680245399475,60.43
95.09227299690247,63.62
97.93775749206543,62.0
97.14574265480042,58.82
96.21815848350525,65.06
98.72888541221619,66.67
98.24595093727112,65.1
95.63772940635681,66.33
97.42074155807495,64.7
98.27125215530396,62.85
96.06481122970581,61.08
99.4852991104126,67.22
96.50452518463135,66.33
95.70336103439331,63.92
98.49667167663574,65.47
97.50559496879578,66.38
95.31288266181946,63.15
96.39781451225281,66.74
96.66229486465454,66.35
96.81843376159668,65.76
99.92234110832214,63.68
100.32072901725769,65.26
93.69849109649658,67.32
94.71793341636658,67.79
98.19295620918274,70.62
95.35160827636719,71.46
