train_time,accuracy
179.85114431381226,41.28
179.5568699836731,43.02
183.71158456802368,45.72
179.63742423057556,46.05
180.1962742805481,48.52
180.06824803352356,52.42
179.05576491355896,52.78
180.54701566696167,55.5
178.70395874977112,53.29
179.2543888092041,55.85
179.67184829711914,57.06
180.32607889175415,57.99
179.5700182914734,60.82
180.53148412704468,56.14
179.35734033584595,54.43
179.5599970817566,60.67
180.22702312469482,54.91
180.4258472919464,60.88
179.34548163414001,60.31
180.15477061271667,57.82
179.95034432411194,59.97
180.4913730621338,63.82
179.7392382621765,65.44
179.4443290233612,63.71
179.35963010787964,63.14
179.4141743183136,60.48
179.84596705436707,64.18
179.51832246780396,66.62
180.30175590515137,64.54
179.74399995803833,64.73
179.68216824531555,65.97
179.69699096679688,63.02
181.33142471313477,63.11
180.01328945159912,65.34
179.45050811767578,67.23
180.07904767990112,63.88
179.4082796573639,65.61
179.5709249973297,62.05
179.79791855812073,65.1
179.59395337104797,65.44
179.40417909622192,64.71
179.2879822254181,66.52
179.9101448059082,66.19
183.62925457954407,67.27
180.2760465145111,65.7
182.44360065460205,65.08
179.46342515945435,67.27
180.13287830352783,65.41
180.16443872451782,67.36
181.11135458946228,65.97
179.2873477935791,70.75
180.68039965629578,70.49
178.94342947006226,71.34
179.75388526916504,71.34
180.0754997730255,71.4
180.11273050308228,71.49
181.1804323196411,71.45
180.5784432888031,71.36
